flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,k,sigma,precision,recall,storage,preparationTime,predictionTime
1106.0,21362.0,277.0,5340.0,3,0.5,0.9323595191595719,0.8429602888086645,255910766,38.858491019366646,0.003783042129903272
1106.0,21362.0,277.0,5340.0,3,0.95,0.9765733992334079,0.7220216606498193,255910766,40.73151897823321,0.003777081478731223
1106.0,21362.0,277.0,5340.0,7,0.5,0.9538021022395964,0.8036101083032496,255910766,48.2993522414669,0.004406767415838827
1106.0,21362.0,277.0,5340.0,7,0.95,0.9928935795117362,0.6077015643802647,255910766,49.285866895732894,0.0044756950656637245
