approach,precision,recall,storage,preparationTime,predictionTime
Pinto-KNN,0.9416731233808776,0.8593764674097343,474784731,42.59009638045887,0.02292234781855222
FLAST-k3-sigma0.5,0.9260045659385885,0.9280945018760886,19796475,5.432532733542573,0.003210697908123791
FLAST-k3-sigma0.95,0.9675961865701797,0.8287932210922939,19796475,2.7151354185235324,0.001956018582548652
FLAST-k7-sigma0.5,0.9066394330594246,0.9139991094304584,19796475,3.745759997299093,0.0026693398740954915
FLAST-k7-sigma0.95,0.989620148361963,0.7001055336316822,19796475,4.014797050199721,0.002720950296732543
