flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,loss,accuracy,precision,recall,TP,TN,FP,FN
1106,21362,277,5340,0.16452676057815552,0.9515755772590637,0.692307710647583,0.03249097615480423,9.0,5336.0,4.0,268.0
-,-,-,-,-,-,0.692307710647583,0.03249097615480423,-,-,-,-
