flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,loss,accuracy,precision,recall,TP,TN,FP,FN
1106,21362,277,5340,0.057740457355976105,0.9894961714744568,0.9359999895095825,0.8447653651237488,234.0,5324.0,16.0,43.0
-,-,-,-,-,-,0.9359999895095825,0.8447653651237488,-,-,-,-
