dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,k,sigma,precision,recall,storage,preparationTime,predictionTime
achilles,54.0,6.0,13.0,2.0,3,0.5,1.0,1.0,287933,0.055590173333333284,0.0014682004444444455
alluxio-tachyon,3.0,2189.0,1.0,548.0,3,0.5,0.7,0.5333333333333333,19285911,1.278542464218654,0.001073243847810586
ambari,3.0,6.0,1.0,2.0,3,0.5,1.0,0.7,26765,0.014951346666666095,0.002284032222222107
hadoop,244.0,2387.0,61.0,597.0,3,0.5,0.8714338352716292,0.7426229508196721,23667879,1.4752698453349546,0.0010999817294808174
