flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,loss,accuracy,precision,recall,TP,TN,FP,FN
1106,21362,277,5340,0.05903914198279381,0.9909204244613647,0.9484127163887024,0.8628158569335938,239.0,5327.0,13.0,38.0
-,-,-,-,-,-,0.9484127163887024,0.8628158569335938,-,-,-,-
